id,image_id,question,label
377,377.png,"For the pair of similar figures, use the given areas to find $x$.",20.0
378,378.png,"If TP = 4x + 2, QP = 2y – 6, PS = 5y - 12, and PR = 6x - 4, find x so that the quadrilateral is a parallelogram.",3
379,379.png,"In $\odot R, S U=20, Y W=20,$ and $m \widehat{Y X}=45$.
Find WZ",10
380,380.png,What is the value of $x$ below to the nearest tenth?,9.7
381,381.png,Rhombus $A B C D$ is circumscribed about $\odot P$ and has a perimeter of 32 Find $x$,5
382,382.png,"In $\odot S, m \angle T S R=42$
Find $m\widehat{ERT}$",180
383,383.png,Find x. Assume that segments that appear to be tangent are tangent.,145
384,384.png,"The diameters of $\odot A, \odot B,$ and $\odot C$ are $8$ inches, $18$ inches, and $11$ inches, respectively. Find $FB$.",5
385,385.png,"In the figure, $m∠1 = 94$. Find the measure of $\angle 5$.",94
386,386.png,Find $x$.,10
387,387.png,Find the area of the figure. Round to the nearest tenth if necessary.,3108
388,388.png,Find $m \widehat{A C}$,58
389,389.png,Find z.,6
390,390.png,Find $m \angle DBA$.,17
391,391.png,"In the figure, $ \triangle ABC$ is isosceles, $ \triangle DCE$ is equilateral, and $ \triangle FCG$ is isosceles. Find the measures of the $\angle 5$ at vertex $C$.",18
392,392.png,"If $\overline{K H}$ is parallel to $\overline{JI}$, find the measure of  $\angle 3$",90
393,393.png,"For trapezoid $R S T V, A$ and $B$ are midpoints of the legs. Find $V T$.",4
394,394.png,Find the area of the regular polygon figure. Round to the nearest tenth.,166.3
395,395.png,Find x,2 \sqrt { 6 }
396,396.png,Find the area of the figure. Round to the nearest tenth if necessary.,128.1
397,397.png,Find x.,\frac { 4 } { 9 } \sqrt { 3 }
398,398.png,"If $A B=60$ and $D E=48,$ find $C F$",18
399,399.png,Find the area of the shaded region. Round to the nearest tenth.,68.7
400,400.png,Find $m \angle 2$.,75
401,401.png,"If $LK=4,MP=3,PQ=6,KJ=2,RS=6$, and $LP=2$, find $QK$.",6
402,402.png,"In the figure, $\overline{FJ} \cong \overline{FH}$ and $\overline{GF} \cong \overline{GH}$. If $m∠JFH=34$, find $m∠J$.",73
403,403.png,"Find the perimeter of the $\triangle DEF$, if $\triangle ABC \sim \triangle DEF$, $AB=5, BC=6, AC=7$, and $DE=3$.",10.8
404,404.png,Find $x$.,127
405,405.png,Find y,16
406,406.png,Find x to the nearest tenth. Assume that segments that appear to be tangent are tangent.,48
407,407.png,Which of the following angle pairs are alternate exterior angles?,\angle 2 and \angle 6
408,408.png,Find the area of the parallelogram. Round to the nearest tenth if necessary.,259.9
409,409.png,Find $m\angle C$,120
410,410.png,Find $m \angle ACB$.,136
411,411.png,Use the Pythagorean Theorem to find the length of the hypotenuse of each right triangle.,5
412,412.png,Find $m \angle C G B$,120
413,413.png,Find $y$ so that each quadrilateral is a parallelogram.,2
414,414.png,Find $m\angle Q$,60
415,415.png,Find x. Round the angle measure to the nearest degree.,40
416,416.png,Find the measure of $\angle 1$.,70
417,417.png,$\overline{QS}$ is a diameter of $\odot V$. Find $m \widehat {QRT}$.,255
418,418.png,Find x,6.75
419,419.png,find $cosR$,0.6
420,420.png,Find the area of the regular polygon. Round to the nearest tenth.,584.2
421,421.png,"For the pair of similar figures, use the given areas to find the scale factor from the blue to the green figure.",\frac { 3 } { 4 }
422,422.png,Find $HJ$.,15
423,423.png,"In the figure, $m∠1 = 123$. Find the measure of $\angle 11$.",123
424,424.png,Find y,32.6
425,425.png,$\overline{QS}$ is a diameter of $\odot V$. Find $m \widehat {PQR}$.,123
426,426.png,"If $\frac{I J}{X J}=\frac{HJ}{YJ}, m \angle W X J=130$, and $m \angle WZG=20,$ find $m \angle JHG$",110
427,427.png,Use parallelogram ABCD to find $m \angle FBC $,34
428,428.png,Find $NP$.,14
429,429.png,"In the figure, $ \triangle ABC$ is isosceles, $ \triangle DCE$ is equilateral, and $ \triangle FCG$ is isosceles. Find the measures of the $\angle 3$ at vertex $C$.",26
430,430.png,Find the perimeter of the triangle. Round to the nearest tenth if necessary.,43.5
431,431.png,Find $x$.,35
432,432.png,Find the area of the figure. Round to the nearest tenth if necessary.,63.2
433,433.png,Find x. Assume that any segment that appears to be tangent is tangent.,9
434,434.png,"$P$ is the centroid of triangle $QUS$. If $QP=14$ centimeters, what is the length of $\overline{QT}$?",21
435,435.png,Find $XY$.,21
436,436.png,Express the ratio of $\cos Q$ as a decimal to the nearest hundredth.,0.88
437,437.png,Find $x$.,8
438,438.png,"In $\odot P$, $PS=4$, find the length of $\widehat {QR}$. Round to the nearest hundredth.",4.75
439,439.png,"In $\odot G, m \angle A G B=30$ and $\overline{C G} \perp \overline{G D}$.
Find $m \widehat{B C D}$",150
440,440.png,"In $\odot P, m \widehat{E N}=66$ and $m \angle G P M=89$ . 
Find $m \angle G M E$",57
441,441.png,"Quadrilateral EFGH is a rectangle. If $m\angle FEG = 57$, find $m\angle GEH$.",33
442,442.png,"In right triangle $ABC$ shown below, what is the measure of $∠ A$ to the nearest tenth of a degree?",38.9
443,443.png,"If $a=4,$ find $c$",8
444,444.png,"If $A N$ is 5 meters long, find the exact circumference of $\odot N .$",10 \pi
445,445.png,"If $b=3,$ find $c$",2 \sqrt { 3 }
446,446.png,Solve for x in parallelogram RSTU.,30
447,447.png,"If $BT = 5$ and $TC = 8$, find $CD$.",\sqrt { 89 }
448,448.png,"Quadrilateral $ABCD$ is a rhombus.  If $m\angle DPC = 3x – 15$, find $x$.",35
449,449.png,Find $m\angle E$,102
450,450.png,"Find y. Round to the nearest tenth, if necessary.",4
451,451.png,Find y so that $e || f$.,20
452,452.png,Find $\angle 6$,110
453,453.png,Find the length of $\widehat {ZY}$. Round to the nearest hundredth.,5.24
454,454.png,"$a=14, b=48,$ and $c=50$, find $tanB$",3.43
455,455.png,"In $\triangle PQR$, $ZQ=3a-11$, $ZP=a+5$, $PY=2 c-1$, $YR=4 c-11$, $m \angle PRZ=4 b-17$, $m \angle ZRQ=3 b-4$, $m \angle QYR=7 b+6$, and $m \angle PXR=2 a+10$. $\overline{PX}$ is an altitude of $ \triangle PQR$. Find $a$.",40
456,456.png,"$\Delta EFG$ is equilateral, and $\overline{E H}$ bisects $\angle E$. Find $m \angle 1$.",30
457,457.png,Find $x$ so that $ m \parallel n $.,9
458,458.png,"ABCD is a rectangle.  If $A C=9 x-1$ and $A F=2 x+7,$ find $A F$",13
459,459.png,Find x.,35
460,460.png,Find the area of the figure. Round to the nearest tenth if necessary.,55.6
461,461.png,"For the pair of similar figures, use the given areas to find the scale factor of the blue to the green figure.",\frac { 6 } { 5 }
462,462.png,Find $x$.,144
463,463.png,Find the area of the figure.,56
464,464.png,Find $m \angle 2$.,23
465,465.png,Find the value of $x$ in each diagram,37
466,466.png,Find the area of the triangle. Round to the nearest tenth if necessary.,6
467,467.png,Find x,38.4
468,468.png,"If $\sin x=0.6$ and $A B=12,$ what is the area of $\triangle A B C ?$",34.6
469,469.png,Find $y$.,1
470,470.png,Find y.,15
471,471.png,Find the area of the shaded region. Round to the nearest tenth.,34.6
472,472.png,"In circle $F$, what is the measure of $\widehat{E A}$ if $m \angle D F E \text { is } 36 ? $",144
473,473.png,Find x.,52
474,474.png,Find $y$ so that the quadrilateral is a parallelogram.,20
475,475.png,"Find the perimeter of the $\triangle DEF$, if $\triangle DEF \sim \triangle CBF$, perimeter of $\triangle CBF=27, DF=6, FC=8$.",20.25
476,476.png,"In $\odot X, A B=30, C D=30,$ and $m \widehat{C Z}=40$
Find AM",15
477,477.png,Find the area of the parallelogram. Round to the nearest tenth if necessary.,1520
478,478.png,"For the pair of similar figures, use the given areas to find $x$.",36
479,479.png,"In $\odot F$, find $m \widehat {AED}$.",153
480,480.png,Find x,4
481,481.png,"If $\overline{TU} \perp \overline{UV}$ and $\overline{UV} \perp \overline{VW}$, find $m \angle 1$.",45
482,482.png,Find $m \angle 2$.,52
483,483.png,What is the perimeter of the figure?,20
484,484.png,Find the area of the parallelogram. Round to the nearest tenth if necessary.,338.4
485,485.png,Find the measure of $x$.,0.5
486,486.png,"In the figure, $m∠4 = 104$, $m∠14 = 118$. Find the measure of $\angle 2$.",104
487,487.png,Find $y$.,11
488,488.png,Find $m \widehat{B X}$,117
489,489.png,"WXYZ is a kite. If $m\angle WXY = 120$, $m\angle WZY = 4x$, and $m\angle ZWX = 10x$, find $m\angle ZYX$.",100
490,490.png,Find y.,1
491,491.png,"If $\overline{AB}$ and $\overline{JK}$ are altitudes, $\triangle DAC \sim \triangle MJL, AB=9, AD=4x-8, JK=21$, and $JM=5x+3,$ find $x$.",5
492,492.png,Find y.,10
493,493.png,Find $WZ$.,30
494,494.png,Find $RS$.,31
495,495.png,Find $y$ so that the quadrilateral is a parallelogram.,8
496,496.png,"If $R T=16, Q P=24,$ and $S T=9,$ find $P S$",13.5
497,497.png,Find the area of the blue sector.,4.6 \pi
498,498.png,Find $x$.,170
499,499.png,Find z.,32
500,500.png,"In $\odot O, \overline{E C}$ and $\overline{A B}$ are diameters, and $\angle B O D \cong \angle D O E \cong \angle E O F \cong \angle F O A$
Find $m\widehat{E B}$",90
501,501.png,Find the measure of $\angle T$.,77
502,502.png,"In $\odot O, \overline{E C}$ and $\overline{A B}$ are diameters, and $\angle B O D \cong \angle D O E \cong \angle E O F \cong \angle F O A$
Find $m\widehat{B C}$",90
503,503.png,Find $y$ so that the quadrilateral is a parallelogram.,12
504,504.png,"If $\overline{PR} \| \overline{WX}, WX=10, XY=6, WY=8, RY=5,$ and $PS=3,$ find $PQ$.",6
505,505.png,Find $x$ so that $p \parallel q$.,15
506,506.png,"Circles $G, J,$ and $K$ all intersect at $L$ If $G H=10,$ find GL.",10
507,507.png,"In the figure, $m∠1 = 123$. Find the measure of $\angle 4$.",57
508,508.png,Find z.,6 \sqrt { 3 }
509,509.png,Find the value of $x$.,35
510,510.png,Find the area of the figure. Round to the nearest tenth.,87.5
511,511.png,"If the circumference of the circle is $16 \pi$ units, what is the total area of the shaded regions?",32 \pi
512,512.png,Find $z$ in the figure.,142
513,513.png,Find the measure of the altitude drawn to the hypotenuse,12
514,514.png,"If $m\angle ZXW = x - 11$ and $m \angle WZX = x - 9$, find $m\angle ZXY$.",46
515,515.png,Find the measure of the altitude drawn to the hypotenuse.,\sqrt { 297 }
516,516.png,Find y.,4 \sqrt { 3 }
517,517.png,Find the area of the triangle. Round to the nearest tenth if necessary.,96
518,518.png,Find $JL$.,24
519,519.png,Find $JK$.,24
520,520.png,$\triangle FGH$ is an equilateral triangle. Find $HG$.,19
521,521.png,"For trapezoid QRTU, V and S are midpoints of the legs. If QR = 12 and UT = 22, find VS.",17
522,522.png,"Find x. Round to the nearest tenth if necessary. Assume that segments that appear
to be tangent are tangent.",8
523,523.png,"If $x=7 \sqrt{3},$ find $b$",42
524,524.png,Find the area of the shaded region. Round to the nearest tenth.,7.7
525,525.png,Use parallelogram ABCD to find CD,6
526,526.png,Find $x$.,8
527,527.png,"In $\odot H$, $PQ=3x-4$ and $RS=14$. Find $x$.",6
528,528.png,"ABCD is a trapezoid.
If $AC = 3x – 7$ and $BD = 2x + 8$, find the value of $x$ so that ABCD is isosceles.",15
529,529.png,"In $\Delta G H J$, $H P=5 x-16$, $P J=3 x+8$, $m \angle G J N=6 y-3$, $m \angle N J H=4 y+23$ and $m \angle H M G=4 z+14$. $\overline{G P}$ is a median of $\triangle G H J$ . Find $H J$.",88
530,530.png,Find $m \angle 1$.,65
531,531.png,Find the area of the figure. Round to the nearest tenth if necessary.,286
532,532.png,Find x.,3 \sqrt { 29 }
533,533.png,The segment is tangent to the circle. Find $x$.,26
534,534.png,Find y,6.4
535,535.png,Find x.,9 \sqrt { 2 }
536,536.png,$ACDF \sim VWYZ$. Find $y$.,3
537,537.png,Solve for x in the figure below.,4.75
538,538.png,Find $x$ and so that each quadrilateral is a parallelogram.,8
539,539.png,Find $JN$ if $\triangle JMN$ is an isosceles triangle with $\overline{JM} \cong \overline{M N}$.,2
540,540.png,Find the measure of $∠T$ to the nearest tenth.,64.6
541,541.png,Refer to the figure at the right. Find the value of $m ∠BCE$ if $ p \parallel q $.,75
542,542.png,Find the perimeter of the figure. Round to the nearest tenth if necessary.,54.8
543,543.png,"ABCD is a rectangle.  If $m \angle 1=12 x+4$ and $m \angle 2=16 x-12,$ find $m \angle 2$",52
544,544.png,"In $\triangle A B C, \overline{B D}$ is a median. If $A D=3 x+5$ and $C D=5 x-1$, find  AC .",28
545,545.png,$\overline{E D}$ is tangent to $\odot F$ at point $E .$ Find $x$,5
546,546.png,Find the measure of $\angle 3$.,14
547,547.png,Find $b$ in the given parallelogram,8
548,548.png,Find y.,10 \sqrt { 3 }
549,549.png,Find the measure of the altitude drawn to the hypotenuse.,\sqrt { 26 }
550,550.png,Express the ratio of $\sin C$ as a decimal to the nearest hundredth.,0.60
551,551.png,$ACDF \sim VWYZ$. Find $x$.,15
552,552.png,Find the height of the parallelogram given its area with 100 square units.,5
553,553.png,Find the length of $\widehat {ZY}$. Round to the nearest hundredth.,11.34
554,554.png,Use a Pythagorean Triple to find x.,34
555,555.png,Find x.,7 \sqrt { 2 }
556,556.png,Use parallelogram to  find $x$,5
557,557.png,Find $m\angle P$,120
558,558.png,"If $\overline{PR} \| \overline{WX}, WX=10, XY=6, WY=8, RY=5,$ and $PS=3,$ find $PY$.",5
559,559.png,"In $\odot P, P D=10, P Q=10,$ and $Q E=20$, find AB",40
560,560.png,Find x.,5.6
561,561.png,Refer to trapezoid $CDFG$ with median $\overline{HE}$. Let $\overline{WX}$ be the median of $CDEH$. Find $WX$.,42
562,562.png,Find the variable of $x$ to the nearest tenth. Assume that segments that appear to be tangent are tangent.,7.1
563,563.png,The radius of $\odot P$ is 5 and $P R=3$. Find QS,8
564,564.png,"In $\odot P$, $PQ=3$, find $m \widehat {RTS}$. Round to the nearest hundredth.",12.04
565,565.png,"In $\Delta G H J$, $H P=5 x-16$, $P J=3 x+8$, $m \angle G J N=6 y-3$, $m \angle N J H=4 y+23$ and $m \angle H M G=4 z+14$. Find $m∠GJH$ if $\overline{JN}$ is an angle bisector.",150
566,566.png,Find the angle measure of $\angle 1$.,142
567,567.png,Find the measure of $\angle 6$ if $m∠4= m∠5$.,44
568,568.png,Find y.,8 \sqrt { 3 }
569,569.png,The segment is tangent to the circle. Find $x$ to the nearest hundredth.,8.06
570,570.png,Triangle $JKL$ is circumscribed about $\odot R$. Find $x$.,4
571,571.png,Find $m \angle 1$.,59
572,572.png,Find x. Round to the nearest tenth.,9.2
573,573.png,The segment is tangent to the circle. Find $x$. Round to the nearest tenth.,10.7
574,574.png,What is the perimeter of the triangle shown below? Round to the nearest tenth.,325.6
575,575.png,"In $\odot R, S U=20, Y W=20,$ and $m \widehat{Y X}=45$.
Find $m\widehat{S U}$",90
576,576.png,The pair of polygons is similar. Find AG,13.5
577,577.png,"Circles $G, J,$ and $K$ all intersect at $L$ If $G H=10,$ find JK",2.5
578,578.png,Find the measure of $\angle 2$ if $m∠DGF = 53$ and $m∠AGC = 40$.,50
579,579.png,Find the area of the figure. Round to the nearest tenth if necessary.,165
580,580.png,Find $y$ so that each quadrilateral is a parallelogram.,4
581,581.png,Find x.,6
582,582.png,"Find the area of the figure in feet. Round to the nearest tenth, if necessary.",14.4
583,583.png,Find $x$.,10
584,584.png,"For the pair of similar figures, find the area of the green figure.",240
585,585.png,Find x. Round side measures to the nearest tenth.,35.1
586,586.png,Find the ratio of the area of the circle to the area of the square.,\frac { \pi } { 4 }
587,587.png,Find x.,9 \sqrt { 3 }
588,588.png,$m \widehat{J H}=114$ Find $m\angle 3$,33
589,589.png,Find z.,\frac { 22 } { 5 }
590,590.png,"If $\overline{K H}$ is parallel to $\overline{JI}$, find the measure of  $\angle 2$",54
591,591.png,Find x.,85
592,592.png,Find $x$ so that each quadrilateral is a parallelogram.,41
593,593.png,Find x. Round side measures to the nearest tenth.,30.0
594,594.png,"RSTV is a trapezoid with bases $\overline{R V}$ and $\overline{S T}$ and median $\overline{M N}$. Find $x$ if $M N=60, S T=4 x-1,$ and $R V=6 x+11$",11
595,595.png,Find $m \angle 7$.,53
596,596.png,Find the perimeter of the figure.,50
597,597.png,The segment is tangent to the circle. Find $x$.,9
598,598.png,The segment is tangent to the circle. Find $x$.,4
599,599.png,Find $m \angle MNP$.,130
600,600.png,Find y. Round to the nearest tenth.,11.7
601,601.png,"isosceles trapezoid TWYZ with $\angle Z \cong \angle Y, m \angle Z=30 x$, $\angle T \cong \angle W,$ and $m \angle T=20 x$, find $\angle T$",72
602,602.png,"In $\odot D, \overline{D E} \cong \overline{E C}, m \widehat{C F}=60,$ and
$\overline{D E} \perp \overline{E C} .$ Find $m \widehat{A F}$",120
603,603.png,Find $m \angle 3$.,133
604,604.png,Find $x$.,11
605,605.png,"$\ln \odot K$, $ M N=16$ and $m \widehat{M N}=98$. Find the measure of $LN$. Round to the nearest hundredth.",8.94
606,606.png,Find $x$.,25
607,607.png,Find $x$.,140
608,608.png,Find x,7
609,609.png,Find $m \angle D G E$,30
610,610.png,"parallelogram MNPQ with $m \angle M=10 x$ and $m \angle N=20 x$, find $\angle P$",60
611,611.png,Find y.,10
612,612.png,$P$ is the incenter of $\triangle AEC$. Find $DE$. Rounded to the nearest hundredth.,13.11
613,613.png,Find $m \angle DAB$.,125
614,614.png,Find $x$ so that each quadrilateral is a parallelogram.,1
615,615.png,Find $m \angle PNM$.,88
616,616.png,Find $m \angle 1$.,61
617,617.png,Express the ratio of $\cos L$ as a decimal to the nearest hundredth.,0.92
618,618.png,Find the measure of $\angle 1$ if $m \angle D G F=53$ and $m \angle A G C=40$.,37
619,619.png,Find $x$ in the figure.,112
620,620.png,Find $m \angle 5$.,85
621,621.png,Find the area of the figure. Round to the nearest tenth if necessary.,500
622,622.png,"If $m \angle CFD=12 a+45$, find $a$ so that $\overrightarrow {FC} \perp \overrightarrow{FD}$.",3.75
623,623.png,Find $x$. A = 153 in$^2$.,17
624,624.png,"WXYZ is a kite. If $m\angle WXY = 13x + 24$, $m\angle WZY = 35$, and $m\angle ZWX = 13x + 14$, find $m\angle ZYX$.",105
625,625.png,Find $YZ$.,8
626,626.png,Find the area of the kite.,72
627,627.png,Find x,4
628,628.png,Find $CB$.,15
629,629.png,$m∠4 = 32$. Find the measure of $\angle 5$.,58
630,630.png,"For trapezoid QRST, M and P are midpoints of the legs. If TS = 2x, PM = 20, and QR = 6x, find x.",5
631,631.png,Find the perimeter or circumference of the figure. Round to the nearest tenth.,8.6
632,632.png,Find $m\angle Z$,144
633,633.png,Find $UZ$.,18
634,634.png,Find the value of the variable $y$ in the figure.,12
635,635.png,Find x,30
636,636.png,"If $FK = 3x - 1$, $KG = 4y + 3$, $JK = 6y - 2$, and 
$KH = 2x + 3$, find $y$ so that the quadrilateral is a parallelogram.",2.5
637,637.png,Find the area of the parallelogram.,396
638,638.png,"In $\odot P, m \widehat{E N}=66$ and $m \angle G P M=89$ . 
Find $m \angle G N M$",44.5
639,639.png,Find x,8 \sqrt { 41 }
640,640.png,Find x.,\frac { 3 } { 2 } \sqrt { 3 }
641,641.png,Find x,3 \sqrt { 2 }
642,642.png,Find x. Round side measures to the nearest tenth.,8.1
643,643.png,Find y,16
644,644.png,Find $m\angle E$,126
645,645.png,Find $XZ$ of isosceles $\triangle XYZ$,12
646,646.png,"In the figure, $QR \| TS$, $QT \| RS$, and $m \angle 1=131$. Find the measure of $\angle 7$.",49
647,647.png,"$\odot  C \cong \odot D$, Find $x$.",27
648,648.png,Find $y$ if $\triangle JLM \sim \triangle QST$.,4
649,649.png,Find y,3 \sqrt { 2 }
650,650.png,What is the area of rectangle $WXYZ$?,18.6
651,651.png,Find $m\angle D$,134
652,652.png,Find $x$ so that $m || n$.,36
653,653.png,Find the area of the regular polygon. Round to the nearest tenth.,6.9
654,654.png,Find x. Assume that segments that appear to be tangent are tangent.,13
655,655.png,Find the measure of $\angle 4$ in the figure.,60
656,656.png,Find the value of $d$ in the parallelogram,42
657,657.png,Find AB,3.6
658,658.png,$\overline{E C}$ and $\overline{A B}$ are diameters of $\odot O$.  Find its measure of $\widehat{ACE}$.,270
659,659.png,"Find x. Round to the nearest tenth, if necessary.",14.3
660,660.png,Find x,45
661,661.png,Find $x$ so that $p ∥ q$.,9
662,662.png,Use the Pythagorean Theorem to find the length of the hypotenuse of each right triangle.,\sqrt { 34 }
663,663.png,"For trapezoid QRTU, V and S are midpoints of the legs. If VS = 9 and UT = 12, find QR.",7
664,664.png,Find y.,8 \sqrt { 3 }
665,665.png,Find $x$. $A = 92$ in$^2$.,8.4
666,666.png,Use parallelogram $JKLM$ to find $m \angle MJK$.,100
667,667.png,Find x. Round to the nearest tenth.,5.2
668,668.png,Express the ratio of $\tan C$ as a decimal to the nearest hundredth.,0.75
669,669.png,Find y.,30
670,670.png,Find y.,\frac { 25 } { 14 }
671,671.png,Find $y$ so that each quadrilateral is a parallelogram.,4
672,672.png,Find y,4 \sqrt { 2 }
673,673.png,"If $J,P,$ and $L$ are the midpoints of $\overline{KH}, \overline{HM}$ and $\overline{MK}$, respectively. Find $y$.",6
674,674.png,"For the pair of similar figures, use the given areas to find $x$.",6.0
675,675.png,Find $x$.,9
676,676.png,"If $BEFA \sim EDCB$, find $x$.",4
677,677.png,Quadrilateral $ABDC$  is a rectangle. Find $m \angle 5 if $ m\angle 1 = 38$.  $,104
678,678.png,"$a=8, b=15,$ and $c=17$, find $sinA$",0.47
679,679.png,Find $m \angle FED$.,82
680,680.png,"In the figure, $a ∥ b, c ∥ d$, and $m∠4 = 57$. Find the measure of $\angle 1$.",123
681,681.png,Find the area of the trapezoid.,96
682,682.png,Find $m \angle JKL$.,60
683,683.png,"For the pair of similar figures, find the area of the green figure.",24
684,684.png,Find x. Round to the nearest degree.,28
685,685.png,Find the measure of $\angle A$. Round to the nearest degree.,74
686,686.png,Find x.,4 \sqrt { 2 }
687,687.png,Find x.,6
688,688.png,Find the area of the shaded region. Assume that all polygons that appear to be regular are regular. Round to the nearest tenth.,26.6
689,689.png,"In $\triangle JLP$, $m \angle JMP=3 x-6$, $JK=3y-2$, and $LK=5y-8$. Find $LK$ if $\overline{PK}$ is a median.",7
690,690.png,"In $\triangle JKL$, $PT=2$. Find $KP$.",4
691,691.png,The segment is tangent to the circle. Find $x$.,3
692,692.png,Find $m \angle T$.,135
693,693.png,Find the measure of $\angle 3$ if $m∠DGF = 53$ and $m∠AGC = 40$.,50
694,694.png,Find $m \angle 2$.,39
695,695.png,Find $x$.,145
696,696.png,Find $x$ so that each quadrilateral is a parallelogram.,6
697,697.png,"The diameters of $\odot A, \odot B,$ and $\odot C$ are $8$ inches, $18$ inches, and $11$ inches, respectively. Find $FG$.",14
698,698.png,Find x.,45
699,699.png,"Assume that the segment is tangent, find the value of $x$.",3
700,700.png,Find the measure of $\angle 1$ in the figure.,128
701,701.png,"If QRST is a parallelogram, Find $z$",11
702,702.png,"If $b=18,$ find $a$",6 \sqrt { 3 }
703,703.png,"In quadrilateral $P Q R S, P Q=721, Q R=547$, $R S=593, P S=756,$ and $m \angle P=58 .$ 
Find $Q S$",716.7
704,704.png,"For the pair of similar figures, use the given areas to find $x$.",4.3
705,705.png,Find x,5 \sqrt { 2 }
706,706.png,Find $m \widehat {RQ}$.,28
707,707.png,Find $h$ in the triangle.,3 \sqrt 2
708,708.png,"In quadrilateral $P Q R S, P Q=721, Q R=547$, $R S=593, P S=756,$ and $m \angle P=58 .$ 
Find $m\angle PQS$",63.5
709,709.png,Each pair of polygons is similar. Find x,71.05
710,710.png,Find x. Round the side measure to the nearest tenth.,117.6
711,711.png,"Quadrilateral $WXZY$ is a rhombus. If $m \angle XZY=56$, find $m \angle YWZ$.",28
712,712.png,Find $DB$.,9.2
713,713.png,Find $m\angle 2$.,80
714,714.png,Find $y$.,72
715,715.png,Find $x$.,48
716,716.png,Find y,\frac { 19 \sqrt { 2 } } { 2 }
717,717.png,Find the area of the figure.,54.9
718,718.png,Find $m\angle U$,60
719,719.png,"Find the perimeter of $\triangle C P D$ if the perimeter of $\triangle B P A$ is 12 $, B M=\sqrt{13},$ and $C N=3 \sqrt{13}$",36
720,720.png,Find the measure of $\angle 2$ if $m∠4= m∠5$.,53
721,721.png,"If $QV=8$, what it the diameter of $\odot Q$.",16
722,722.png,"If $M D=7,$ find $R I$",14
723,723.png,Find y,10
724,724.png,Find x. Assume that segments that appear to be tangent are tangent.,8
725,725.png,What is the value of x in the figure?,12
726,726.png,"In $\triangle RST$, $Z$ is the centroid and $RZ=18$. Find $ZV$.",9
727,727.png,"If PR || WX, WX = 10, XY = 6, WY = 8, RY = 5, and PS = 3, find SY",4
728,728.png,"If $m \angle 1=3 x+40$, $m \angle 2=2(y-10)$, and $m \angle 3=2 x+70$, find $y$.",75
729,729.png,Find $y$ in the given parallelogram,2
730,730.png,"If $ABCDE \sim PQRST,$ find the perimeter of $ABCDE$.",30
731,731.png,Find $m \angle A G E$,120
732,732.png,"In the figure, the vertices of quadrilateral ABCD intersect square EFGH and divide its sides into segments with measures that have a ratio of 1:2. Find the ratio between the areas of ABCD and EFGH.",5:9
733,733.png,Find the area of the figure. Round to the nearest tenth if necessary.,6
734,734.png,"If KLMN is a parallelogram, find the value of the indicated variable. 
Find x",4
735,735.png,Find x,20
736,736.png,"$a=14, b=48,$ and $c=50$ find $tanA$",0.29
737,737.png,Find $x$.,9
738,738.png,Find the area of the shaded region. Round to the nearest tenth.,449.0
739,739.png,Find the measure of $\angle 1$.,76
740,740.png,"$a=8, b=15,$ and $c=17$ find $sinB$",0.88
741,741.png,Find z,10 \sqrt { 2 }
742,742.png,Find $x$.,19
743,743.png,Find $x$.,162
744,744.png,Find $m \angle 2$.,21
745,745.png,"Find $a$ if $c=8, b=10,$ and $m \angle A=60$",9.2
746,746.png,Find $x$.,150
747,747.png,Find the perimeter of the figure.,36
748,748.png,Find $y$.,73.5
749,749.png,If $CN=8$. Find $DN$.,8
750,750.png,Find x,29.1
751,751.png,Find $m \angle P$.,70
752,752.png,Find $\angle 8$,90
753,753.png,"If PR || KL, KN = 9, LN = 16, PM = 2 KP, find KP",5
754,754.png,Find the area of the parallelogram. Round to the nearest tenth if necessary.,39.0
755,755.png,Find $m \angle 1$.,55
756,756.png,Find the area of the triangle.,167.2
757,757.png,Use parallelogram to find $x$,58
758,758.png,Find $x$ if $\triangle QRS$ is an equilateral triangle.,0.5
759,759.png,"In $\triangle EFG, \overline{HL} \parallel \overline{EF}, EH=9, HG=21,$ and $FL=6 .$ Find $LG$",14
760,760.png,Find x. Assume that segments that appear to be tangent are tangent.,15
761,761.png,"$\overline{BC} \| \overline{DF}$. $AC=15$, $BD=3x-2$, $CF=3x+2$, and $AB=12$. Find $x$.",6
762,762.png,"If $\overline{RQ} \cong \overline{RS}$, $\overline{RP} \cong \overline{RT}$ and $ m ∠RQS = 80 $, find $ m ∠P $.",80
763,763.png,Find $x$.,70
764,764.png,Find the value of x.,95
765,765.png,Find the measure of the altitude drawn to the hypotenuse.,\sqrt { 147 }
766,766.png,Find $\angle 4$,60
767,767.png,Find $m \angle JMK$.,102
768,768.png,Find VW,12
769,769.png,"In the figure, $m∠8 = 96$ and $m∠12 = 42$. Find the measure of $\angle 11$.",138
770,770.png,Find x. Assume that segments that appear to be tangent are tangent.,4
771,771.png,Each pair of polygons is similar. Find x.,91
772,772.png,"If TR = 8, LR = 3, and RW = 6, find WS.",10
773,773.png,Find $m \angle 1$.,110
774,774.png,Find $x$.,12
775,775.png,Find z.,20
776,776.png,"In the figure, $m∠3 = 110$ and $m ∠ 12 = 55$. Find the measure of $∠10$.",55
777,777.png,Find $m \angle 1$.,123
778,778.png,Find $m \angle R$.,30
779,779.png,Find x.,3
780,780.png,Use parallelogram ABCD to find $y $,11
781,781.png,Find PQ,15
